Year,Term,YearTerm,Subject,Number,Name,Description,Credit Hours,Section Info,Degree Attributes,Schedule Information,CRN,Section,Status Code,Part of Term,Section Title,Section Credit Hours,Section Status,Enrollment Status,Type,Type Code,Start Time,End Time,Days of Week,Room,Building,Instructors
2022,Spring,2022-sp,AAS,100,Intro Asian American Studies,"Interdisciplinary introduction to the basic concepts and approaches in Asian American Studies. Surveys the various dimensions of Asian American experiences including history, social organization, literature, arts, and politics.",3 hours.,,"Social & Beh Sci - Soc Sci, and Cultural Studies - US Minority course.",,69781,AB,A,1,,,A,Open,Lecture-Discussion,LCD,09:00 AM,10:20 AM,TR,329,Gregory Hall,"Lee, S"
2022,Spring,2022-sp,AAS,100,Intro Asian American Studies,"Interdisciplinary introduction to the basic concepts and approaches in Asian American Studies. Surveys the various dimensions of Asian American experiences including history, social organization, literature, arts, and politics.",3 hours.,,"Social & Beh Sci - Soc Sci, and Cultural Studies - US Minority course.",,30107,AD1,A,1,,,A,Open,Discussion/Recitation,DIS,09:00 AM,09:50 AM,F,242,Bevier Hall,"Park, D;Zheng, R"
2022,Spring,2022-sp,AAS,100,Intro Asian American Studies,"Interdisciplinary introduction to the basic concepts and approaches in Asian American Studies. Surveys the various dimensions of Asian American experiences including history, social organization, literature, arts, and politics.",3 hours.,,"Social & Beh Sci - Soc Sci, and Cultural Studies - US Minority course.",,41729,AD2,A,1,,,A,Open,Discussion/Recitation,DIS,10:00 AM,10:50 AM,F,242,Bevier Hall,"Park, D;Zheng, R"
2022,Spring,2022-sp,AAS,100,Intro Asian American Studies,"Interdisciplinary introduction to the basic concepts and approaches in Asian American Studies. Surveys the various dimensions of Asian American experiences including history, social organization, literature, arts, and politics.",3 hours.,,"Social & Beh Sci - Soc Sci, and Cultural Studies - US Minority course.",,43832,AD3,A,1,,,A,Open,Discussion/Recitation,DIS,11:00 AM,11:50 AM,F,113,Gregory Hall,"Park, D;Rosado-Torres, A"
2022,Spring,2022-sp,AAS,100,Intro Asian American Studies,"Interdisciplinary introduction to the basic concepts and approaches in Asian American Studies. Surveys the various dimensions of Asian American experiences including history, social organization, literature, arts, and politics.",3 hours.,,"Social & Beh Sci - Soc Sci, and Cultural Studies - US Minority course.",,48232,AD4,A,1,,,A,Closed,Discussion/Recitation,DIS,12:00 PM,12:50 PM,F,113,Gregory Hall,"Park, D;Rosado-Torres, A"
2022,Spring,2022-sp,AAS,100,Intro Asian American Studies,"Interdisciplinary introduction to the basic concepts and approaches in Asian American Studies. Surveys the various dimensions of Asian American experiences including history, social organization, literature, arts, and politics.",3 hours.,,"Social & Beh Sci - Soc Sci, and Cultural Studies - US Minority course.",,48234,AD5,A,1,,,A,Open,Online Discussion,OD,01:00 PM,01:50 PM,F,,,"Park, D;Wang, Y"
2022,Spring,2022-sp,AAS,100,Intro Asian American Studies,"Interdisciplinary introduction to the basic concepts and approaches in Asian American Studies. Surveys the various dimensions of Asian American experiences including history, social organization, literature, arts, and politics.",3 hours.,,"Social & Beh Sci - Soc Sci, and Cultural Studies - US Minority course.",,50105,AD6,A,1,,,A,Open,Online Discussion,OD,02:00 PM,02:50 PM,F,,,"Park, D;Wang, Y"
2022,Spring,2022-sp,AAS,100,Intro Asian American Studies,"Interdisciplinary introduction to the basic concepts and approaches in Asian American Studies. Surveys the various dimensions of Asian American experiences including history, social organization, literature, arts, and politics.",3 hours.,,"Social & Beh Sci - Soc Sci, and Cultural Studies - US Minority course.",,54572,AD7,A,1,,,A,Open,Discussion/Recitation,DIS,10:00 AM,10:50 AM,F,212,Davenport Hall,"Gonzalez, D;Park, D"
2022,Spring,2022-sp,AAS,100,Intro Asian American Studies,"Interdisciplinary introduction to the basic concepts and approaches in Asian American Studies. Surveys the various dimensions of Asian American experiences including history, social organization, literature, arts, and politics.",3 hours.,,"Social & Beh Sci - Soc Sci, and Cultural Studies - US Minority course.",,51886,AD8,A,1,,,A,Open,Discussion/Recitation,DIS,11:00 AM,11:50 AM,F,212,Davenport Hall,"Gonzalez, D;Park, D"
2022,Spring,2022-sp,AAS,100,Intro Asian American Studies,"Interdisciplinary introduction to the basic concepts and approaches in Asian American Studies. Surveys the various dimensions of Asian American experiences including history, social organization, literature, arts, and politics.",3 hours.,,"Social & Beh Sci - Soc Sci, and Cultural Studies - US Minority course.",,70761,AD9,A,1,,,A,Open,Discussion/Recitation,DIS,01:00 PM,01:50 PM,F,329,Davenport Hall,"Atienza, P;Park, D"
2022,Spring,2022-sp,AAS,100,Intro Asian American Studies,"Interdisciplinary introduction to the basic concepts and approaches in Asian American Studies. Surveys the various dimensions of Asian American experiences including history, social organization, literature, arts, and politics.",3 hours.,,"Social & Beh Sci - Soc Sci, and Cultural Studies - US Minority course.",,70762,ADA,A,1,,,A,Open,Discussion/Recitation,DIS,02:00 PM,02:50 PM,F,329,Davenport Hall,"Atienza, P;Park, D"
2022,Spring,2022-sp,AAS,100,Intro Asian American Studies,"Interdisciplinary introduction to the basic concepts and approaches in Asian American Studies. Surveys the various dimensions of Asian American experiences including history, social organization, literature, arts, and politics.",3 hours.,,"Social & Beh Sci - Soc Sci, and Cultural Studies - US Minority course.",,30106,AL1,A,1,,,A,Open,Online Lecture,OLC,11:00 AM,11:50 AM,MW,,,"Park, D"
2022,Spring,2022-sp,AAS,105,Introduction to Arab American Studies,"Interdisciplinary introduction to the basic concepts and approaches in Arab American Studies. Addresses the issues of history, race, social organization, politics, literature, and art related to Arab American experiences.",3 hours.,,Cultural Studies - US Minority course.,,71907,A,A,1,,,A,Open,Online,ONL,03:30 PM,04:50 PM,TR,,,"Sharif, L"
2022,Spring,2022-sp,AAS,201,US Racial &amp; Ethnic Politics,"Same as AFRO 201, LLS 201, and PS 201. See PS 201.",3 hours.,"Same as AFRO 201, LLS 201, and PS 201. See PS 201.","Social & Beh Sci - Soc Sci, and Cultural Studies - US Minority course.",,66639,OL1,A,A,,,A,CrossListOpen,Online,ONL,ARRANGED,,,,,"Agosto Rosa, R"
